Date,Region,Area,Unemployment_Rate,Employed,Labour_Participation_Rate
01-01-2025,Karnataka,Rural,14.36,3397291,52
02-01-2025,Uttar Pradesh,Rural,28.77,3902429,45.55
03-01-2025,Karnataka,Urban,23.3,4994287,36.55
04-01-2025,Karnataka,Rural,19.97,2590706,40.95
05-01-2025,West Bengal,Urban,8.9,1291902,67.13
06-01-2025,Karnataka,Urban,8.9,2592118,57.04
07-01-2025,West Bengal,Urban,6.45,3837973,49.84
08-01-2025,Gujarat,Urban,26.65,2302575,30.51
09-01-2025,Delhi,Rural,20.03,564071,69.7
10-01-2025,Uttar Pradesh,Rural,22.7,4481137,56.86
11-01-2025,Maharashtra,Urban,5.51,875435,42.68
12-01-2025,Tamil Nadu,Rural,29.25,2274606,65.17
13-01-2025,Gujarat,Rural,25.81,3598472,40.34
14-01-2025,Maharashtra,Urban,10.31,3106316,51.76
15-01-2025,Tamil Nadu,Rural,9.55,1664718,55.44
16-01-2025,Maharashtra,Urban,9.59,2234793,38.84
17-01-2025,West Bengal,Urban,12.61,1702575,69.14
18-01-2025,Gujarat,Rural,18.12,3913270,59.93
19-01-2025,Rajasthan,Urban,15.8,4906425,52.31
20-01-2025,Karnataka,Rural,12.28,2478837,37.22
21-01-2025,Karnataka,Urban,20.3,1624102,32.15
22-01-2025,Uttar Pradesh,Urban,8.49,3290541,42.8
23-01-2025,Tamil Nadu,Rural,12.3,764180,60.13
24-01-2025,Tamil Nadu,Rural,14.16,2483366,40.77
25-01-2025,West Bengal,Rural,16.4,2135848,51.58
26-01-2025,Gujarat,Urban,24.63,2539855,59.12
27-01-2025,West Bengal,Rural,9.99,304615,34.32
28-01-2025,Maharashtra,Urban,17.86,1625233,57.41
29-01-2025,Maharashtra,Rural,19.81,3996022,33.67
30-01-2025,Uttar Pradesh,Urban,6.16,1903740,68.61
31-01-2025,Tamil Nadu,Rural,20.19,4068222,49.54
01-02-2025,Rajasthan,Urban,9.26,3168893,36.03
02-02-2025,West Bengal,Urban,6.63,938003,43.7
03-02-2025,Gujarat,Urban,28.72,3533382,46.54
04-02-2025,Uttar Pradesh,Rural,29.14,381570,60.33
05-02-2025,Maharashtra,Urban,25.21,3282993,59.74
06-02-2025,Karnataka,Rural,12.62,4181082,54.48
07-02-2025,Rajasthan,Rural,7.44,3495049,34.24
08-02-2025,Rajasthan,Urban,22.11,166150,36.06
09-02-2025,Delhi,Rural,16,2534206,33.75
10-02-2025,Uttar Pradesh,Rural,8.05,659723,53.09
11-02-2025,Karnataka,Urban,17.38,2647500,65.09
12-02-2025,Maharashtra,Rural,5.86,3455745,47.35
13-02-2025,Maharashtra,Urban,27.73,1099554,36.43
14-02-2025,Uttar Pradesh,Rural,11.47,4293060,52.32
15-02-2025,Rajasthan,Urban,21.56,4258634,62.47
16-02-2025,Tamil Nadu,Rural,12.79,234055,59.67
17-02-2025,Tamil Nadu,Rural,18,776022,65.26
